state,total_enrolment,state_enrolment_share_percent
Uttar Pradesh,1018629,18.73960345876209
Bihar,609585,11.214466871068355
Madhya Pradesh,493970,9.08751068399261
West Bengal,375308,6.904499179682771
Maharashtra,369139,6.791008778626938
Rajasthan,348458,6.410542741305539
Gujarat,280549,5.161228485299599
Assam,230197,4.234908389017647
Karnataka,223235,4.106829255908436
Tamil Nadu,220789,4.061830468263345
Jharkhand,157539,2.898227312681968
Telangana,131574,2.4205521200389573
Andhra Pradesh,127686,2.349025020135394
Odisha,118838,2.186249356568848
Meghalaya,109771,2.019444774566376
Chhattisgarh,103219,1.8989083654696302
Haryana,98252,1.8075310235918012
Delhi,94529,1.7390394101810585
Punjab,76746,1.4118875538062978
Kerala,75002,1.3798033814215718
Jammu And Kashmir,48941,0.900362087546374
Uttarakhand,37698,0.6935258776143358
Himachal Pradesh,17486,0.321687980687683
Nagaland,15587,0.2867522906884888
Manipur,13456,0.24754852271150993
Tripura,11285,0.20760887922111992
Mizoram,5926,0.10901995731186147
Arunachal Pradesh,4344,0.0799160807564506
Orissa,4149,0.07632868762857124
Chandigarh,2723,0.05009472557546384
Goa,2333,0.04291993931970516
Sikkim,2207,0.04060193145246005
Puducherry,1745,0.0321025692725613
Pondicherry,1272,0.023400841326474485
Dadra And Nagar Haveli,744,0.01368728454944734
The Dadra And Nagar Haveli And Daman And Diu,716,0.013172171690059535
Ladakh,617,0.011350879794366947
Andaman And Nicobar Islands,397,0.007303564470605637
100000,218,0.004010521548090753
Lakshadweep,203,0.003734568230561572
Dadra And Nagar Haveli And Daman And Diu,173,0.003182661595503212
Jammu & Kashmir,155,0.0028515176144681955
Daman And Diu,120,0.0022076265402334416
Andaman & Nicobar Islands,114,0.00209724521322177
Dadra & Nagar Haveli,25,0.00045992219588196704
Daman & Diu,21,0.0003863346445408523
West  Bengal,15,0.0002759533175291802
West Bangal,10,0.0001839688783527868
Westbengal,7,0.00012877821484695077
